"Variable","N","Minimum","Maximum","Median","RI_lower","RI_upper","CI90_lower_L","CI90_lower_U","CI90_upper_L","CI90_upper_U"
"Heart Rate (/min)",25,9,56,18,9,26.4,9,12,19.6,56
"Rectal Temp ""C""",25,11,15.5,12.1,11.14,13.38,11,11.32,12.58,15.5
"Right IR (F)",25,50.2,64.9,54.5,50.64,60.28,50.2,52.54,56.3,64.9
"Dorsal IR (F)",25,49.8,63.3,53.8,50.1,58.94,49.8,52,55.6,63.3
"Hct (%PCV)",25,20,47,26,21,32,20,24.2,30,47
"Hb* (g/dL)",25,6.8,16,8.8,7.1,11.7,6.8,8.2,10.2,16
