"Variable","N","Median","Minimum","Maximum","Values"
"Absolute Neutrophils K/μl",15,2.8,1.1,8.4,"1.1, 1.5, 1.8, 2.1, 2.5, 2.8, 2.8, 2.8, 2.9, 3.4, 3.8, 4.3, 4.9, 7.2, 8.4"
"Absolute immature neutrophils K/μl",15,0.23,0.09,0.84,"0.09, 0.11, 0.12, 0.14, 0.15, 0.2, 0.21, 0.23, 0.24, 0.26, 0.35, 0.49, 0.57, 0.8, 0.84"
