"Variable","N","OutliersRemoved","Mean","Minimum","Maximum","Values"
"Cl (mmol/L)",6,0,137.5,135,140,"135, 136, 137, 138, 139, 140"
"WBC estimate K/μl",12,3,9.24166666666667,6.1,11.7,"6.1, 6.9, 7.5, 8.1, 8.8, 8.9, 9.8, 10.2, 10.6, 10.6, 11.7, 11.7"
"Absolute Lymphocytes K/μl",15,0,6.36666666666667,3,8.8,"3, 4.4, 4.5, 5.2, 5.4, 5.7, 5.8, 5.9, 6.7, 7.2, 7.6, 8.2, 8.3, 8.8, 8.8"
"Absolute Monocytes K/μl",15,0,0.698666666666667,0.15,1.4,"0.15, 0.32, 0.47, 0.48, 0.49, 0.49, 0.51, 0.53, 0.62, 0.7, 0.78, 0.94, 1.2, 1.4, 1.4"
